ID,PopularFoodDislike,DressColor,Floaters,Animal,ChocolateOrVanilla,RightLeftHanded,RotaryPhone,Activities,ThermostatTemperature,NumberFrom1to100,MovieStar,CanRollTongue,CellPhoneType,TasteDislike,FavoriteNumberFrom1to5,FollowSport,FavoriteTeam,TriedFood,GrossedOutByFoodAnswer,ThrowingOutSocks,FavouriteCandy,Activity_Basketball,Activity_IceSkate,Activity_Ski,Activity_Stilts,Activity_HorseRiding,Activity_StickShift,Activity_Rubiks,Activity_Juggle,Activity_Unicycle,Dislike_CarbonatedDrinks,Dislike_Eggs,Dislike_Cilantro,Dislike_ChocolateIceCream,Dislike_Coffee,Dislike_Tomatoes,Dislike_Yogurt,Follow_Football,Follow_Basketball,Follow_Cricket,Follow_Soccer,Follow_Baseball,Tried_Snails,Tried_FrogLegs,Tried_Natto,Tried_Aligator,Tried_ThousandYearOldEgg,Tried_Durian
5131,rice,Blue and black,I'm not sure what things you mean,cat,Vanilla,Right-handed,"Yes, and I have","Solve a Rubik's cube, Ice skate",Cooler,68,idk,Yes,iPhone,Carbonated drinks,3,None,,None,No,"I did the throwing out thing, but didn't talk to everyone about it",I don't want to vote,,,,,,,,,,,,,,,,,,,,,,,,,,,
9894,Burger,What dress?,"Yes, occasionally",Lion ,Chocolate,Right-handed,"Yes, I believe so","Dunk a basketball, Ice skate, Ski, Walk on stilts",Cooler,4,Leonardo DiCaprio,Yes,iPhone,Carbonated drinks,4,"American Football, Basketball, Cricket",,None,"Yes, one or two",No,Chocolate M&Ms,0,0,0,0,,,,,,0,,,,,,,1,1,1,,,,,,,,
7508,pickle,White and gold,"Yes, occasionally",Dog,Vanilla,Ambidextrous,"Yes, I believe so","Ride a horse, Drive a stick shift",Cooler,56,Jacky Chen,What?,iPhone,None,2,American Football,,"Snails, Frog legs, Natto, Aligator, Thousand-year-old eggs","Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it",Twix,,,,,0,0,,,,,,,,,,,1,,,,,0,0,0,0,0,
3569,pizza,White and gold,I'm not sure what things you mean,wolf,Chocolate,Right-handed,"Yes, and I have","Solve a Rubik's cube, Ice skate, Ski, Juggle",Cooler,8,Daniel Craig,Yes,iPhone,None,5,"American Football, Soccer, Basketball",,"Snails, Durian",No,No,Snicker,,0,0,,,,0,0,,,,,,,,,1,1,,1,,0,,,,,0
9562,Sushi,Blue and black,I'm not sure what things you mean,Tiger,Chocolate,Right-handed,Not 100% sure,"Ride a horse, Ice skate, Ski",Cooler,89,Blake Lively,Yes,iPhone,"Eggs, Cilantro",2,American Football,Eagles,None,"Yes, most of them",No,Twix,,0,0,,0,,,,,,0,0,,,,,1,,,,,,,,,,
7107,Pizza,Blue and black,"Yes, constantly",Fish ,Chocolate,Right-handed,"Yes, and I have",Dunk a basketball,Cooler,9,Brad Pitt ,Yes,iPhone,Chocolate Ice-cream,4,Soccer,Denver Nuggets ,Snails,"Yes, most of them",Yes,Reese PB Cup,0,,,,,,,,,,,,0,,,,,,,1,,0,,,,,
6007,Banana,Blue and black,"Yes, occasionally",Lion,Vanilla,Right-handed,Not 100% sure,Drive a stick shift,Warmer,72,Tom Cruise,Yes,iPhone,Coffee,3,"American Football, Soccer, Basketball",Los Angeles Lakers,Aligator,"Yes, one or two",No,Reese PB Cup,,,,,,0,,,,,,,,0,,,1,1,,1,,,,,0,,
7086,Kimchi,Blue and black,"Yes, occasionally",Goose,Chocolate,Right-handed,"Yes, I believe so",Ski,Cooler,67,Leonardo Di Carpio,Yes,iPhone,Carbonated drinks,4,None,,Frog legs,"Yes, one or two","No, but I'm totally doing that now",Carambar,,,0,,,,,,,0,,,,,,,,,,,,,0,,,,
2618,pizza,White and gold,"Yes, occasionally",Cat,Vanilla,Right-handed,Not 100% sure,Ride a horse,Cooler,12,Bobby Shmurda,Yes,iPhone,None,4,American Football,,"Snails, Frog legs",No,No,Chocolate M&Ms,,,,,0,,,,,,,,,,,,1,,,,,0,0,,,,
6968,Soup,White and gold,"Yes, constantly",Dog,Chocolate,Right-handed,Not 100% sure,"Ice skate, Ski",Cooler,7,Scarlett Johansson,Yes,iPhone,"Eggs, Coffee",3,None,,None,"Yes, most of them","No, but I'm totally doing that now",Alfajores,,0,0,,,,,,,,0,,,0,,,,,,,,,,,,,
6593,Potatos,Blue and black,"Yes, occasionally",Dog,Chocolate,Right-handed,Not 100% sure,None,Warmer,68,"Dwayne ""The Rock"" Johnson",No,iPhone,"Cilantro, Tomatoes, Yogurt",1,None,,None,No,No,Chocolate M&Ms,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,
6673,pizza,Blue and black,"Yes, occasionally",dog,Vanilla,Right-handed,Not 100% sure,"Drive a stick shift, Solve a Rubik's cube, Ice skate",Warmer,45,chris pine,No,iPhone,"Cilantro, Yogurt",3,"American Football, Soccer, Basketball",Manchester City F.C.,Durian,No,No,Mars,,0,,,,0,0,,,,,0,,,,0,1,1,,1,,,,,,,0
8410,Peppers,I don't remember,"Yes, occasionally",Parrot,Chocolate,Ambidextrous,"Yes, I believe so",Ski,Cooler,33,Nicholas Cage,Yes,iPhone,None,2,American Football,,Natto,"Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it",Twix,,,0,,,,,,,,,,,,,,1,,,,,,,0,,,
7868,cinnamon ,Blue and black,"Yes, occasionally",cat,Chocolate,Right-handed,Not 100% sure,"Ride a horse, Ice skate, Ski",Cooler,21,Jonny Depp ,Yes,iPhone,Carbonated drinks,3,Basketball,,"Frog legs, Aligator, Durian","Yes, one or two",Yes,Twix,,0,0,,0,,,,,0,,,,,,,,1,,,,,0,,0,,0
1810,Banana,A color combination not listed here,"Yes, constantly",Shiba Inu,Vanilla,Ambidextrous,"Yes, and I have","Dunk a basketball, Ride a horse, Drive a stick shift, Solve a Rubik's cube, Ice skate, Ski, Juggle, Walk on stilts, Unicycle",Cooler,77,Don Cheedle,No,iPhone,"Eggs, Chocolate Ice-cream, Carbonated drinks, Cilantro, Tomatoes, Yogurt",5,"American Football, Soccer, Basketball, Baseball, Cricket",Denver Nuggets,"Snails, Frog legs, Natto, Aligator, Durian, Thousand-year-old eggs",No,"No, but I'm totally doing that now",White Rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,1,1,0,0,0,0,0,0
1835,mushrooms,White and gold,"Yes, occasionally",donkey,Chocolate,Right-handed,"Yes, I believe so",Ice skate,Cooler,33,Keanu Reeves,Yes,iPhone,None,3,"American Football, Soccer, Basketball, Baseball, Cricket",Liverpool,None,"Yes, most of them",No,Twix,,0,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,
1429,chocolate cake,White and gold,I'm not sure what things you mean,dog,Vanilla,Right-handed,Not 100% sure,Ride a horse,Warmer,88,Angelina Jolie,Yes,iPhone,Chocolate Ice-cream,5,None,,None,"Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it",Twix,,,,,0,,,,,,,,0,,,,,,,,,,,,,,
5818,Banana,White and gold,"Yes, constantly",Dog,Chocolate,Right-handed,Not 100% sure,"Ice skate, Ski",Cooler,1,Bob Odenkirk,No,iPhone,None,5,None,,None,"Yes, most of them",No,Snicker,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2875,Curry,Blue and black,"Yes, occasionally",Cat,Vanilla,Right-handed,"Yes, and I have","Ride a horse, Ice skate",Cooler,99,Johnny Depp,No,iPhone,Chocolate Ice-cream,4,None,,"Snails, Durian, Thousand-year-old eggs",No,No,Snicker,,0,,,0,,,,,,,,0,,,,,,,,,0,,,,0,0
8731,Snickers,What dress?,I'm not sure what things you mean,Panda,Chocolate,Right-handed,A what?,Ice skate,Warmer,24,Kim Soo-hyun ,What?,iPhone,Carbonated drinks,5,None,,None,"Yes, most of them",No,Reese PB Cup,,0,,,,,,,,0,,,,,,,,,,,,,,,,,
2545,celery,Blue and black,I'm not sure what things you mean,cat,Vanilla,Right-handed,Not 100% sure,Dunk a basketball,Cooler,57,Timothee Chalamet,No,iPhone,Carbonated drinks,3,American Football,Kansas City Chiefs,Durian,"Yes, most of them",No,Reese PB Cup,0,,,,,,,,,0,,,,,,,1,,,,,,,,,,0
4665,I like all foods. I will literally eat anything as long as it is culturally appropriate.,White and gold,"Yes, occasionally",Dog,Chocolate,Right-handed,"Yes, I believe so","Dunk a basketball, Drive a stick shift, Ski",Warmer,2,Christian Bale,What?,iPhone,None,2,"American Football, Soccer, Basketball, Baseball",New York Knicks,"Snails, Frog legs, Thousand-year-old eggs",No,"I did the throwing out thing, but didn't talk to everyone about it",Twix,0,,0,,,0,,,,,,,,,,,1,1,,1,1,0,0,,,0,
7844,pickles,White and gold,"Yes, occasionally",tiger,Vanilla,Left-handed,Not 100% sure,"Solve a Rubik's cube, Ice skate",Warmer,77,Tom Cruise,No,Android,Eggs,4,None,,None,"Yes, most of them",No,Twix,,0,,,,,0,,,,0,,,,,,,,,,,,,,,,
8629,Bacon,I don't remember,No,Gorilla,Chocolate,Right-handed,Not 100% sure,None,Warmer,50,John Cena,Yes,Android,"Carbonated drinks, Tomatoes",5,None,,None,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,
8547,Liver,White and gold,"Yes, constantly",Cat,Vanilla,Right-handed,Not 100% sure,Ride a horse,Cooler,43,,Yes,iPhone,Eggs,3,"American Football, Soccer, Basketball, Baseball",Arsenal,None,No,No,Peanuts M&Ms,,,,,0,,,,,,0,,,,,,1,1,,1,1,,,,,,
2475,Watermelon,Blue and black,"Yes, occasionally",Dog,Vanilla,Right-handed,Not 100% sure,None,Warmer,50,Sharon Stone,No,Android,None,5,None,,Aligator,"Yes, one or two",No,I don't want to vote,,,,,,,,,,,,,,,,,,,,,,,,,0,,
9153,Pizza,White and gold,"Yes, occasionally",Dog,Chocolate,Left-handed,"Yes, I believe so",Solve a Rubik's cube,Cooler,2,Brad Pitt ,Yes,iPhone,None,4,Basketball,Golden State Warriors,Snails,"Yes, one or two",No,Peanuts M&Ms,,,,,,,0,,,,,,,,,,,1,,,,0,,,,,
3580,Mac and Cheese,Blue and black,"Yes, occasionally",Cat,Chocolate,Right-handed,"Yes, I believe so",Ski,Cooler,36,Chris Evans,Yes,iPhone,"Carbonated drinks, Cilantro, Coffee",4,"American Football, Soccer, Basketball, Baseball",Minnesota Vikings,Frog legs,No,No,White Rabbit,,,0,,,,,,,0,,0,,0,,,1,1,,1,1,,0,,,,
3264,Sushi,Blue and black,I'm not sure what things you mean,Donkey,Vanilla,Ambidextrous,"Yes, I believe so","Dunk a basketball, Ride a horse, Drive a stick shift, Solve a Rubik's cube, Ski, Juggle",Cooler,1,Aishwarya Rai,Yes,iPhone,None,1,Soccer,FC Barcelona,None,"Yes, most of them",No,Chocolate M&Ms,0,,0,,0,0,0,0,,,,,,,,,,,,1,,,,,,,
7803,Fish,What dress?,"Yes, occasionally",Tiger,Chocolate,Right-handed,"Yes, I believe so",None,Warmer,16,Kiara Advani,What?,iPhone,Tomatoes,3,"Basketball, Cricket",Indian Cricket Team,None,"Yes, one or two",No,Twix,,,,,,,,,,,,,,,0,,,1,1,,,,,,,,
4670,Cake,White and gold,No,Dog,Vanilla,Right-handed,"Yes, I believe so","Drive a stick shift, Ice skate",Cooler,69,Adam Sandler,Yes,iPhone,"Cilantro, Tomatoes",3,"American Football, Soccer, Basketball, Baseball",NY Giants,None,"Yes, most of them",No,Twix,,0,,,,0,,,,,,0,,,0,,1,1,,1,1,,,,,,
1320,bacon,Blue and black,"Yes, occasionally",Guinea pig,Chocolate,Right-handed,"Yes, I believe so",Ski,Cooler,71,Jim Carrey ,Yes,Android,Tomatoes,4,None,,Durian,"Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it",Twix,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0
1962,Milk tea,Blue and black,"Yes, occasionally",Elephant ,Vanilla,Right-handed,"Yes, I believe so","Ice skate, Ski",Warmer,70,Tom Holland,No,Android,"Cilantro, Coffee",3,None,TSM,"Snails, Frog legs, Aligator, Durian, Thousand-year-old eggs","Yes, one or two",No,Twix,,0,0,,,,,,,,,0,,0,,,,,,,,0,0,,0,0,0
9195,tacoes,Blue and black,I'm not sure what things you mean,Lion,Chocolate,Ambidextrous,"Yes, I believe so","Drive a stick shift, Solve a Rubik's cube",Cooler,50,Angelina Jolie,Yes,iPhone,Coffee,3,"American Football, Soccer, Basketball",Las Vegas Raiders,None,"Yes, one or two",No,Peanuts M&Ms,,,,,,0,0,,,,,,,0,,,1,1,,1,,,,,,,
3069,Pie,Blue and black,No,Giraffe,Vanilla,Right-handed,"Yes, I believe so","Ride a horse, Ice skate, Ski",Cooler,2,Nicholas Cage,Yes,Android,None,2,None,,None,No,No,Snicker,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,
2536,Caviar,What dress?,"Yes, occasionally",Tiger,Vanilla,Right-handed,Not 100% sure,"Drive a stick shift, Ice skate",Warmer,12,Ryan Renolds,Yes,iPhone,Tomatoes,5,Basketball,Wizards,None,No,"I did the throwing out thing, but didn't talk to everyone about it",Snicker,,0,,,,0,,,,,,,,,0,,,1,,,,,,,,,
6983,Cucumber ,White and gold,"Yes, occasionally",Elephant ,Vanilla,Right-handed,"Yes, and I have",Ice skate,Cooler,13,Will Smith,Yes,iPhone,"Eggs, Tomatoes",1,None,,None,"Yes, one or two",No,Reese PB Cup,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,
6228,spaghetti,White and gold,"Yes, occasionally",elephant,Vanilla,Right-handed,"Yes, I believe so",Ski,Cooler,69,Robert Downey Jr.,No,Android,Carbonated drinks,3,"American Football, Basketball",Warriors,None,No,No,Snicker,,,0,,,,,,,0,,,,,,,1,1,,,,,,,,,
5665,Baked beans,White and gold,No,Koala,Vanilla,Right-handed,"Yes, and I have","Solve a Rubik's cube, Ski",Warmer,26,Tom Cruise,Yes,Android,None,3,Basketball,,"Snails, Frog legs, Durian, Thousand-year-old eggs",No,No,Chocolate M&Ms,,,0,,,,0,,,,,,,,,,,1,,,,0,0,,,0,0
1556,Pizza,Blue and black,"Yes, constantly",Sloth,Vanilla,Left-handed,A what?,Solve a Rubik's cube,Cooler,7,Tom Holland,Yes,iPhone,"Cilantro, Tomatoes",2,"American Football, Basketball",Pittsburgh Steelers,Snails,"Yes, most of them","No, but I'm totally doing that now",Reese PB Cup,,,,,,,0,,,,,0,,,0,,1,1,,,,0,,,,,
8719,taco,White and gold,"Yes, constantly",cat,Chocolate,Right-handed,"Yes, and I have",Dunk a basketball,Cooler,1,Jacky chen,Yes,iPhone,Eggs,5,Basketball,,Snails,"Yes, most of them",Yes,Snicker,0,,,,,,,,,,0,,,,,,,1,,,,0,,,,,
9716,Salad,Blue and black,"Yes, occasionally",Snail,Vanilla,Right-handed,"Yes, I believe so","Ride a horse, Ice skate, Ski, Unicycle",Warmer,16,Daisy Ridley,No,Android,"Cilantro, Coffee, Tomatoes",4,None,,Durian,"Yes, most of them",No,Peanuts M&Ms,,0,0,,0,,,,0,,,0,,0,0,,,,,,,,,,,,0
6247,tacos,What dress?,No,lion,Vanilla,Right-handed,"Yes, I believe so",Dunk a basketball,Cooler,69,Robert De Niro,Yes,iPhone,Yogurt,4,"American Football, Basketball, Baseball",Chicago Bulls,None,"Yes, one or two",No,Reese PB Cup,0,,,,,,,,,,,,,,,0,1,1,,,1,,,,,,
9822,Grilled Cheese,Blue and black,No,Dog,Chocolate,Left-handed,"Yes, I believe so","Ice skate, Ski",Cooler,44,Scarlett Johansson,Yes,iPhone,None,3,"American Football, Soccer",NY Giants,None,No,"No, but I'm totally doing that now",Twix,,0,0,,,,,,,,,,,,,,1,,,1,,,,,,,
2093,Ice Cream,Blue and black,"Yes, constantly",Panda,Vanilla,Right-handed,"Yes, and I have","Dunk a basketball, Ride a horse, Drive a stick shift, Solve a Rubik's cube, Ice skate, Ski, Walk on stilts",Warmer,76,Brad Pitt,Yes,iPhone,"Eggs, Tomatoes",3,None,,None,No,No,Snicker,0,0,0,0,0,0,0,,,,0,,,,0,,,,,,,,,,,,
4811,avocado,White and gold,"Yes, occasionally",bunny,Chocolate,Right-handed,Not 100% sure,None,Warmer,23,Emma Stone,Yes,iPhone,None,4,Soccer,FC Bayern Munich,"Snails, Frog legs, Aligator, Durian","Yes, one or two",No,Reese PB Cup,,,,,,,,,,,,,,,,,,,,1,,0,0,,0,,0
1796,Soda,White and gold,"Yes, occasionally",Cat,Chocolate,Right-handed,Not 100% sure,Walk on stilts,Warmer,92,Angelina Jolie,No,iPhone,Carbonated drinks,2,None,,None,"Yes, most of them",No,Twix,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
